# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.3.0 Build 109 09/24/2025 SC Pro Edition
# File: C:\Users\\Downloads\DE23-Lite_revB_v1.1.0_ResourcePackage\Demonstrations\golden_top\DE_23_Pin_Assignments.csv
# Generated on: Sat Mar 28 21:09:38 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
GPIO_D[19],Unknown,PIN_A9,6C,3.3-V LVCMOS,,,,,
GPIO_D[18],Unknown,PIN_B11,6C,3.3-V LVCMOS,,,,,
GPIO_D[17],Unknown,PIN_D3,6C,3.3-V LVCMOS,,,,,
GPIO_D[16],Unknown,PIN_U9,6C,3.3-V LVCMOS,,,,,
GPIO_D[15],Unknown,PIN_H13,6D,3.3-V LVCMOS,,,,,
GPIO_D[14],Unknown,PIN_K13,6D,3.3-V LVCMOS,,,,,
GPIO_D[13],Unknown,PIN_D10,6D,3.3-V LVCMOS,,,,,
GPIO_D[12],Unknown,PIN_F13,6D,3.3-V LVCMOS,,,,,
GPIO_D[11],Unknown,PIN_F10,6D,3.3-V LVCMOS,,,,,
GPIO_D[10],Unknown,PIN_K10,6D,3.3-V LVCMOS,,,,,
GPIO_D[9],Unknown,PIN_B5,6C,3.3-V LVCMOS,,,,,
GPIO_D[8],Unknown,PIN_B8,6C,3.3-V LVCMOS,,,,,
GPIO_D[7],Unknown,PIN_H7,6D,3.3-V LVCMOS,,,,,
GPIO_D[6],Unknown,PIN_F7,6D,3.3-V LVCMOS,,,,,
GPIO_D[5],Unknown,PIN_K7,6C,3.3-V LVCMOS,,,,,
GPIO_D[4],Unknown,PIN_W9,6C,3.3-V LVCMOS,,,,,
GPIO_D[3],Unknown,PIN_F3,6C,3.3-V LVCMOS,,,,,
GPIO_D[2],Unknown,PIN_D18,6D,3.3-V LVCMOS,,,,,
GPIO_D[1],Unknown,PIN_C2,6C,3.3-V LVCMOS,,,,,
GPIO_D[0],Unknown,PIN_B3,6C,3.3-V LVCMOS,,,,,
I2C_SDA,Unknown,PIN_N2,6H,3.3-V LVCMOS,,,,,
I2C_SCL,Unknown,PIN_M2,6H,3.3-V LVCMOS,,,,,
UART_RX,Unknown,PIN_BH10,6E,3.3-V LVCMOS,,,,,
UART_TX,Unknown,PIN_J1,6H,3.3-V LVCMOS,,,,,
HDMI_I2S0,Unknown,PIN_M1,6H,3.3-V LVCMOS,,,,,
HDMI_SCLK,Unknown,PIN_J2,6H,3.3-V LVCMOS,,,,,
HDMI_MCLK,Unknown,PIN_T6,6H,3.3-V LVCMOS,,,,,
HDMI_LRCLK,Unknown,PIN_L1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_INT,Unknown,PIN_AL12,6G,3.3-V LVCMOS,,,,,
HDMI_TX_DE,Unknown,PIN_Y1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[23],Unknown,PIN_AH12,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[22],Unknown,PIN_AJ6,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[21],Unknown,PIN_AJ4,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[20],Unknown,PIN_AH9,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[19],Unknown,PIN_AE12,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[18],Unknown,PIN_AV1,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[17],Unknown,PIN_AR2,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[16],Unknown,PIN_AR1,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[15],Unknown,PIN_AM6,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[14],Unknown,PIN_AK2,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[13],Unknown,PIN_AK1,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[12],Unknown,PIN_AG2,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[11],Unknown,PIN_AF1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[10],Unknown,PIN_AF2,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[9],Unknown,PIN_AC1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[8],Unknown,PIN_AB9,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[7],Unknown,PIN_AA4,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[6],Unknown,PIN_AD6,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[5],Unknown,PIN_AA6,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[4],Unknown,PIN_P6,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[3],Unknown,PIN_V2,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[2],Unknown,PIN_P4,6G,3.3-V LVCMOS,,,,,
HDMI_TX_D[1],Unknown,PIN_N1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_D[0],Unknown,PIN_AC2,6H,3.3-V LVCMOS,,,,,
HDMI_TX_VS,Unknown,PIN_R2,6H,3.3-V LVCMOS,,,,,
HDMI_TX_HS,Unknown,PIN_V1,6H,3.3-V LVCMOS,,,,,
HDMI_TX_CLK,Unknown,PIN_A22,3A_T,1.2-V,,,,,
DRAM_DQM[3],Unknown,PIN_BD1,6F,1.8-V LVCMOS,,,,,
DRAM_DQM[2],Unknown,PIN_BE6,6F,1.8-V LVCMOS,,,,,
DRAM_DQM[1],Unknown,PIN_BA2,6F,1.8-V LVCMOS,,,,,
DRAM_DQM[0],Unknown,PIN_BE4,6F,1.8-V LVCMOS,,,,,
DRAM_RAS_n,Unknown,PIN_BM31,6A,1.8-V LVCMOS,,,,,
DRAM_CAS_n,Unknown,PIN_BK40,6B,1.8-V LVCMOS,,,,,
DRAM_WE_n,Unknown,PIN_BM34,6A,1.8-V LVCMOS,,,,,
DRAM_CS_n,Unknown,PIN_BN34,6A,1.8-V LVCMOS,,,,,
DRAM_DQ[31],Unknown,PIN_BM19,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[30],Unknown,PIN_BN14,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[29],Unknown,PIN_BN16,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[28],Unknown,PIN_BM11,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[27],Unknown,PIN_BM14,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[26],Unknown,PIN_BM8,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[25],Unknown,PIN_BN11,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[24],Unknown,PIN_BN8,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[23],Unknown,PIN_BG1,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[22],Unknown,PIN_BC2,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[21],Unknown,PIN_BG2,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[20],Unknown,PIN_BJ2,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[19],Unknown,PIN_BJ1,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[18],Unknown,PIN_BN5,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[17],Unknown,PIN_BC1,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[16],Unknown,PIN_BM9,6F,1.8-V LVCMOS,,,,,
DRAM_DQ[15],Unknown,PIN_BN45,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[14],Unknown,PIN_BN42,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[13],Unknown,PIN_BM45,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[12],Unknown,PIN_BM42,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[11],Unknown,PIN_BM44,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[10],Unknown,PIN_BN39,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[9],Unknown,PIN_BM37,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[8],Unknown,PIN_BN37,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[7],Unknown,PIN_BH46,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[6],Unknown,PIN_BL51,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[5],Unknown,PIN_BH50,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[4],Unknown,PIN_BM47,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[3],Unknown,PIN_BN47,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[2],Unknown,PIN_BK50,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[1],Unknown,PIN_BM50,6B,1.8-V LVCMOS,,,,,
DRAM_DQ[0],Unknown,PIN_BM51,6B,1.8-V LVCMOS,,,,,
DRAM_BA[1],Unknown,PIN_BM29,6A,1.8-V LVCMOS,,,,,
DRAM_BA[0],Unknown,PIN_BH43,6B,1.8-V LVCMOS,,,,,
DRAM_ADDR[12],Unknown,PIN_BM24,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[11],Unknown,PIN_BN29,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[10],Unknown,PIN_BN27,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[9],Unknown,PIN_BH35,6B,1.8-V LVCMOS,,,,,
DRAM_ADDR[8],Unknown,PIN_BK26,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[7],Unknown,PIN_BH32,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[6],Unknown,PIN_BH21,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[5],Unknown,PIN_BK18,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[4],Unknown,PIN_BH26,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[3],Unknown,PIN_BH18,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[2],Unknown,PIN_BM26,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[1],Unknown,PIN_BH27,6A,1.8-V LVCMOS,,,,,
DRAM_ADDR[0],Unknown,PIN_BN26,6A,1.8-V LVCMOS,,,,,
DRAM_CKE,Unknown,PIN_BH40,6B,1.8-V LVCMOS,,,,,
DRAM_CLK,Unknown,PIN_BK32,6A,1.8-V LVCMOS,,,,,
HEX5[6],Unknown,PIN_K3,6H,3.3-V LVCMOS,,,,,
HEX5[5],Unknown,PIN_E2,6H,3.3-V LVCMOS,,,,,
HEX5[4],Unknown,PIN_BB9,6E,3.3-V LVCMOS,,,,,
HEX5[3],Unknown,PIN_BB12,6E,3.3-V LVCMOS,,,,,
HEX5[2],Unknown,PIN_BF9,6E,3.3-V LVCMOS,,,,,
HEX5[1],Unknown,PIN_BF12,6E,3.3-V LVCMOS,,,,,
HEX5[0],Unknown,PIN_BH3,6E,3.3-V LVCMOS,,,,,
HEX4[6],Unknown,PIN_BH7,6E,3.3-V LVCMOS,,,,,
HEX4[5],Unknown,PIN_BL2,6E,3.3-V LVCMOS,,,,,
HEX4[4],Unknown,PIN_BM2,6E,3.3-V LVCMOS,,,,,
HEX4[3],Unknown,PIN_BK7,6E,3.3-V LVCMOS,,,,,
HEX4[2],Unknown,PIN_AP9,6E,3.3-V LVCMOS,,,,,
HEX4[1],Unknown,PIN_AT12,6E,3.3-V LVCMOS,,,,,
HEX4[0],Unknown,PIN_AT9,6E,3.3-V LVCMOS,,,,,
HEX3[6],Unknown,PIN_AW12,6E,3.3-V LVCMOS,,,,,
HEX3[5],Unknown,PIN_AU4,6E,3.3-V LVCMOS,,,,,
HEX3[4],Unknown,PIN_AU6,6E,3.3-V LVCMOS,,,,,
HEX3[3],Unknown,PIN_AY6,6E,3.3-V LVCMOS,,,,,
HEX3[2],Unknown,PIN_BM3,6E,3.3-V LVCMOS,,,,,
HEX3[1],Unknown,PIN_BH13,6E,3.3-V LVCMOS,,,,,
HEX3[0],Unknown,PIN_BM22,6A,1.8-V LVCMOS,,,,,
HEX2[6],Unknown,PIN_BN19,6A,1.8-V LVCMOS,,,,,
HEX2[5],Unknown,PIN_BN24,6A,1.8-V LVCMOS,,,,,
HEX2[4],Unknown,PIN_H35,3A_T,1.2-V,,,,,
HEX2[3],Unknown,PIN_B29,3A_T,1.2-V,,,,,
HEX2[2],Unknown,PIN_A31,3A_T,1.2-V,,,,,
HEX2[1],Unknown,PIN_F35,3A_T,1.2-V,,,,,
HEX2[0],Unknown,PIN_H43,3A_T,1.2-V,,,,,
HEX1[6],Unknown,PIN_G52,3A_T,1.2-V,,,,,
HEX1[5],Unknown,PIN_V52,3A_T,1.2-V,,,,,
HEX1[4],Unknown,PIN_R52,3A_T,1.2-V,,,,,
HEX1[3],Unknown,PIN_V51,3A_T,1.2-V,,,,,
HEX1[2],Unknown,PIN_N52,3A_T,1.2-V,,,,,
HEX1[1],Unknown,PIN_K40,3A_T,1.2-V,,,,,
HEX1[0],Unknown,PIN_F40,3A_T,1.2-V,,,,,
HEX0[6],Unknown,PIN_R51,3A_T,1.2-V,,,,,
HEX0[5],Unknown,PIN_M52,3A_T,1.2-V,,,,,
HEX0[4],Unknown,PIN_M51,3A_T,1.2-V,,,,,
HEX0[3],Unknown,PIN_J52,3A_T,1.2-V,,,,,
HEX0[2],Unknown,PIN_G51,3A_T,1.2-V,,,,,
HEX0[1],Unknown,PIN_J51,3A_T,1.2-V,,,,,
HEX0[0],Unknown,PIN_L51,3A_T,1.2-V,,,,,
LEDR[9],Unknown,PIN_D40,3A_T,1.2-V,,,,,
LEDR[8],Unknown,PIN_B34,3A_T,1.2-V,,,,,
LEDR[7],Unknown,PIN_A44,3A_T,1.2-V,,,,,
LEDR[6],Unknown,PIN_A24,3A_T,1.2-V,,,,,
LEDR[5],Unknown,PIN_B24,3A_T,1.2-V,,,,,
LEDR[4],Unknown,PIN_A19,3A_T,1.2-V,,,,,
LEDR[3],Unknown,PIN_F32,3A_T,1.2-V,,,,,
LEDR[2],Unknown,PIN_K35,3A_T,1.2-V,,,,,
LEDR[1],Unknown,PIN_B42,3A_T,1.2-V,,,,,
LEDR[0],Unknown,PIN_B39,3A_T,1.2-V,,,,,
SW[9],Unknown,PIN_A34,3A_T,1.2-V,,,,,
SW[8],Unknown,PIN_D32,3A_T,1.2-V,,,,,
SW[7],Unknown,PIN_A29,3A_T,1.2-V,,,,,
SW[6],Unknown,PIN_B27,3A_T,1.2-V,,,,,
SW[5],Unknown,PIN_A26,3A_T,1.2-V,,,,,
SW[4],Unknown,PIN_K32,3A_T,1.2-V,,,,,
SW[3],Unknown,PIN_A42,3A_T,1.2-V,,,,,
SW[2],Unknown,PIN_B26,3A_T,1.2-V,,,,,
SW[1],Unknown,PIN_B37,3A_T,1.2-V,,,,,
SW[0],Unknown,PIN_A37,3A_T,1.2-V,,,,,
KEY[3],Unknown,PIN_W12,6C,3.3-V LVCMOS,,,,,
KEY[2],Unknown,PIN_BK10,6E,3.3-V LVCMOS,,,,,
KEY[1],Unknown,PIN_K27,6D,3.3-V LVCMOS,,,,,
KEY[0],Unknown,PIN_K26,6D,3.3-V LVCMOS,,,,,
CLOCK1_50,Unknown,PIN_A8,6C,3.3-V LVCMOS,,,,,
